FL,FR,RL,RR
77.630699,86.348946,50.665226,56.355141
77.630699,86.348946,50.665226,56.355141
77.630699,86.348946,50.665226,56.355141
77.234413,86.745232,50.406593,56.613773
77.234413,86.745232,50.406593,56.613773
76.838127,87.141510,50.147961,56.872402
76.838127,87.141510,50.147961,56.872402
76.838127,87.141510,50.147961,56.872402
77.458748,86.997185,50.182251,56.361805
77.458748,86.997185,50.182251,56.361805
78.081673,86.850563,50.214245,55.853512
78.081673,86.850563,50.214245,55.853512
78.081673,86.850563,50.214245,55.853512
77.458748,86.997185,50.182251,56.361805
77.458748,86.997185,50.182251,56.361805
76.838127,87.141510,50.147961,56.872402
76.838127,87.141510,50.147961,56.872402
76.838127,87.141510,50.147961,56.872402
76.838127,87.141510,50.147961,56.872402
76.441849,87.537796,49.889328,57.131035
76.441849,87.537796,49.889328,57.131035
76.441849,87.537796,49.889328,57.131035
76.838127,87.141510,50.147961,56.872402
76.838127,87.141510,50.147961,56.872402
77.234413,86.745232,50.406593,56.613773
77.234413,86.745232,50.406593,56.613773
77.630699,86.348946,50.665226,56.355141
77.630699,86.348946,50.665226,56.355141
78.026985,85.952660,50.923851,56.096508
78.253616,86.202316,50.697216,55.846848
